,date,unitName,sqrFt,price,availableDate,bdr,bthr,flr,features,apt_views,hasSpecial
20,02-06-22,Apartment 20R,560,4051,4/2/2022,0,1,20,"West view
Quartz countertops
Gray wood plank flooring",9,0
21,02-06-22,Apartment 06K,677,4406,4/8/2022,0,1,6,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",5,0
22,02-06-22,Apartment 08D,679,3686,4/8/2022,0,1,8,"Gas stove
Breakfast bar
Soaking tub",12,0
23,02-06-22,Apartment 09R,560,4056,4/8/2022,0,1,9,"West view
Quartz countertops
Gray wood plank flooring",9,0
24,02-06-22,Apartment 23Q,564,4156,4/8/2022,0,1,23 - Top Floor,"West view
Quartz countertops
Gray wood plank flooring",10,0
25,02-06-22,Apartment 04U,545,3561,4/9/2022,0,1,4,"West view
Gas stove
Breakfast bar",7,0
26,02-06-22,Apartment 20P,557,3586,4/22/2022,0,1,20,"West view
Stainless steel appliances
Gas stove",12,0
27,02-06-22,Apartment 04F,781,5157,Now,1,1,4,"Stackable washer and dryer
Quartz countertops
Gray wood plank flooring",48,0
28,02-06-22,Apartment 22L,667,4188,Now,1,1,22,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",58,0
29,02-06-22,Apartment 07F,781,4862,2/19/2022,1,1,7,"Stackable washer and dryer
Stainless steel appliances
Gas stove",27,0
30,02-06-22,Apartment 03L,667,4188,3/11/2022,1,1,3,"Quartz countertops
Gray wood plank flooring
Modern cabinetry",38,0
31,02-06-22,Apartment 20H,665,4388,3/25/2022,1,1,20,"Stackable washer and dryer
Quartz countertops
Gray wood plank flooring",26,0
32,02-06-22,Apartment 17H,665,4243,4/15/2022,1,1,17,"Stackable washer and dryer
Stainless steel appliances
Gas stove",23,0
